id,rec_rank,rec_score,rec_id
10517,1,0.9311319785405211,10535
10517,2,0.9277410177168092,10536
10517,3,0.9213196831197961,10520
10517,4,0.9207773836934787,10516
10517,5,0.9141099063238428,10525
4264,1,0.4697337176216495,4261
4264,2,0.4489564064086068,4260
4264,3,0.4261171450969962,4273
4264,4,0.41135754332878494,4263
4264,5,0.37579777386815943,4272
11086,1,0.18815339094430233,11087
11086,2,0.1698333708221675,11079
11086,3,0.1495852325191056,11088
11086,4,0.1388067326423033,11081
11086,5,0.12839005205495624,11089
8135,1,0.23860030125300014,8138
8135,2,0.22251467911729347,8134
8135,3,0.14829745462818567,8136
8135,4,0.08323312412534409,8137
8135,5,0.06314279207562469,4267
4268,1,0.5377183958723922,4261
4268,2,0.5145408357312432,4260
4268,3,0.5020606912214663,4273
4268,4,0.4404262502137117,4263
4268,5,0.4254881567857813,4269
6217,1,0.5143556050857789,6218
6217,2,0.38696887899465193,6219
6217,3,0.3153991761549497,6222
6217,4,0.2667305925251556,6224
6217,5,0.23887596519871168,6215
9829,1,0.9288399111036006,9836
9829,2,0.9282792300662397,5911
9829,3,0.9280262538010566,5941
9829,4,0.9270348997652658,1543
9829,5,0.9264399708316821,9830
2621,1,0.1109691368372548,2620
2621,2,0.055578517903152484,10438
2621,3,0.05022164863614402,8815
2621,4,0.040797946077920075,4775
2621,5,0.031143925851924086,5300
10525,1,0.9390925240274937,10535
10525,2,0.9375034281707051,10536
10525,3,0.9358546484284733,10516
10525,4,0.935575145216811,10520
10525,5,0.9220073283593628,10533
6725,1,0.41520110881030287,3093
6725,2,0.3726492038489682,5778
6725,3,0.3694286241917865,6727
6725,4,0.3666031646012496,5780
6725,5,0.34978415131503443,5783
9830,1,0.9441708944147359,1543
9830,2,0.9437485880159743,9836
9830,3,0.9431341650336104,5941
9830,4,0.9430157530037652,5911
9830,5,0.9411600330964239,5942
10423,1,0.0969886816720571,86
10423,2,0.08628666251205161,755
10423,3,0.06696945068150442,88
10423,4,0.06425944615941795,4838
10423,5,0.06395620402384158,477
7468,1,0.1320596701435475,7469
7468,2,0.042534212144391695,1494
7468,3,0.04053174657394219,1497
7468,4,0.03726614054239633,1460
7468,5,0.03690906355435985,1502
11088,1,0.21565621161515383,11087
11088,2,0.21094139416116034,11084
11088,3,0.18125422307269687,11089
11088,4,0.16444115520013952,11079
11088,5,0.1495852325191056,11086
9275,1,0.17405235547537615,9276
9275,2,0.1548814165206141,9278
9275,3,0.11316787559003119,9281
9275,4,0.10422926743169825,9282
9275,5,0.08591222632919082,9283
4263,1,0.634778780820433,4261
4263,2,0.5839813532805023,4260
4263,3,0.5500262541097845,4273
4263,4,0.495382715522585,4272
4263,5,0.4840321619847985,4269
4457,1,0.609931783037627,4453
4457,2,0.602410842451614,4448
4457,3,0.5790420322718298,4452
4457,4,0.5414026170967593,4459
4457,5,0.5039586879461562,4451
9834,1,0.9237712728871793,9863
9834,2,0.9217090890127678,5911
9834,3,0.9216636126959062,1543
9834,4,0.9213592157531942,5941
9834,5,0.9210282967142582,9836
4439,1,0.21041789974938307,4442
4439,2,0.17442133953937822,4438
4439,3,0.16807856966578033,10613
4439,4,0.14082459407668976,4440
4439,5,0.11728122938291452,4441
11410,1,0.3093485552238833,11414
11410,2,0.30383801324401516,11415
11410,3,0.17889565677092795,11411
11410,4,0.12833020063493267,11417
11410,5,0.11676727764316716,11413
4210,1,0.8576260395001566,14
4210,2,0.8556628611120596,5009
4210,3,0.8491586969625541,13
4210,4,0.8389492958152791,5007
4210,5,0.792792833613855,5008
10613,1,0.32642595264286445,4440
10613,2,0.16807856966578033,4439
10613,3,0.11335998630518279,4441
10613,4,0.0892169817407774,4442
10613,5,0.07596736854103182,1081
1035,1,0.1805655306411533,1036
1035,2,0.12482018471389843,1039
1035,3,0.12342236256252266,1040
1035,4,0.0860004569300675,1042
1035,5,0.08486210394998536,1037
8199,1,0.8947034382019523,8198
8199,2,0.8811788261146768,8218
8199,3,0.8510456411242541,11402
8199,4,0.8487214496886138,8236
8199,5,0.8413301483246899,8234
10116,1,0.4275332295780965,10125
10116,2,0.4073140062974643,10122
